Autor, Year, Title, Ed,Sub
Gil. Joamette,2009, Interview w/ Becky Cloonan. Co-Creator of Demo and Pixu, Mangapunk.com (April 21),
Lundsten. Teru,2006, Being funny is a pain. cartoonist Shary Flenniken delves into life's 'downside', Mangolia News (March 15),
Spillane. Mickey,1953, Everybody's Watching Me [pulp story illustrated by Matt Baker], Manhunt (1; January),
Janson. Tim,2009, Legends. Steve Englehart; The scoop on The Dark Knight and his new novel, Mania (April 1),
Krug. Kurt Anthony,2009, Legends. Chris Claremont; The Best At What He Does, Mania (April 22),
Worley. Rob M,2009, Under The Hood with Matthies and Rodionoff. Mania talks with the director and writer of the Watchmen spinoff movie, Mania (March 18),
Amacker. Kurt,2009, Alan Moore Reflects on Marvelman. The NFZ interviews comics preeminent writer, Mania (September 3. 10),
Krug. Kurt Anthony,2009, Mark Crilley FALLS into Film. Acclaimed comics creator talks AKIKO and MIKI, Mania.com (February 24),
Villagomez. Kaye,2006, HBO's American Splendor everything but ordinary, Manila Bulletin (April 2),
Mallonga. Eric F,2006, Bridging the divide [Danish Islam cartoons], Manila Times (June 26),Newspaper / Magazine
Ladaw. Dennis,2003, From screen to stage; But not in a single bound [Filipino superhero Darna], Manila Times (March 23),Newspaper / Magazine
Sitoy. Lakambini A,2003, Magic stones and bondage dreams [Filipino superhero Darna], Manila Times (March 23),Newspaper / Magazine
Sipin. Larry V,2003, Darna for President! [Filipino superhero Darna], Manila Times (March 3),Newspaper / Magazine
Vanderhart. Tessa,2006, Student newspapers satirize cartoon controversy [Danish Islam cartoons], Manitoban Online (February 22),
Billout. Guy,1993, Journey. Travel Diary of a Day Dreamer, Mankato. MI. Creative Editions,
Unknown,1970, Comics make the job scene, Manpower 2(2).26-28,
Mauldin. Bill,1953, Bill Mauldin in Korea. a Book Length Feature, Man's Day (March). 87-97,
Gifford. Denis,1994, The American comic book catalogue. The evolutionary era. 1884-1939, Mansell,
Blanchard. Georges,1975, Histoire de la bande dessinee [in French], Marabout Universite,University
French. Renee,2001, Soap Lady. The [Inc afterword by Gretchen Worden. curator of the Mutter Museum], Marietta. GA. Top Shelf,
Chelsea. David,2008, 24x2 [24-Hour Comic. autobiography. dreams], Marietta. GA. Top Shelf,
Warnock. Brett (ed,1999, Top Shelf. Under the Big Top (Number 8) [Anthology, Marietta. GA. Top Shelf Productions,
Moore. Alan and Kevin O'Neill,2009, The League Of Extraordinary Gentlemen. Vol, Marietta. GA. Top Shelf Productions,
Unknown,2008, Cartoonist Horsey apologizes, Marin Independent Journal (March 29),
Liberatore. Paul,2006, A portrait of the artist as a counterculture connoisseur [Victor Moscoso], Marin Independent Journal (September 24),
Unknown,1999, A great era in American history is about to end [on Schulz retirement], Marion (Ohio) Star (December 16),
Unknown,1902, Takes death to himself. Famous author of the Bugville Sketches commits suicide [Gus Dirks obituary], Marion Daily Star (June 11),
Dryden. Chad,2008, Go do it. 'Persepolis' challenges perceptions of graphic novels; author will visit, Marjane Satrapi's illustrated memoir. now an Oscar-nominated film. explores the realities and misconceptions of life in the Middle EaSt. Idaho Statesman (April 11),
Inge. M,1990, Mark Twain And The Comics, Mark Twain Journal 28(2; Fall).30,
Burrows. David,2009, Npower reveals Wallace & Gromit TV ad, Marketing Week (March 23),
Farrell. Paul B,2006, 'Dilbert' deserves the economics Nobel. 'Unified Theory of Everything Financial' wins in parallel universe, MarketWatch (October 9),
McLaughlin. Jim,2008, British artist creates Japanese comic book form of the Bible [Siku. creator of The Manga Bible], Marquette Tribune (February 7),
Stewart. Bob G,2006, The Shepherd's Heart/What's going on? Society has kicked morals to curb [comic books in library compared to mass murder], Marshall Democrat-News (October 5),
Ison. Melissa,2009, New world for comic book store, Marshall University Parthenon Online (April 2),
Schwartz. David,1985, Marvel goes Hollywood [animation], Marvel Age Annual (1). 40-43,
Reece. Warren,1985, Carl Burgos. A Memorial for the Man Who Lit the Torch, Marvel Age Annual (1). 44-45,
Cosgrove. Robert and Stevel Saffel,1985, The Quotations of Chairman Doom [Doctor Doom], Marvel Age Annual (1). 46-48,
Kraft. David Anthony . Winslow Mortimer and Mike Esposito,1986, Unmasked. The Amazing Spider-Man [coloring book], Marvel Books,
Kraft. David Anthony . Winslow Mortimer and Mike Esposito,1986, Marvel Super Heroes. Jumbo Coloring & Activity Book, Marvel Entertainment Group,
Khoury. George,2006, The Roger Stern Interview. the Triumphs and Trials of the Writer, Marvel Masterworks Resource Page (October),
Penagos. Ryan and Greg Draudt,2007, Captain America in Video Games. A Retrospective - A look back at Cap's video game appearances, Marvel.com,On line
David. Peter,2006, Peter David X-Factor Interview, Marvel.com,On line
Collins. Sean T,2009, Strange Tales Spotlight. Peter Bagge; At long last. 'The Incorrigible Hulk' is about to be unleashed-and Marvel.com asked its altcomix-superstar author about it, Marvel.com,On line
Collins. Sean T,2009, Strange Tales Spotlight. Jason; Norway's master cartoonist tackles Spider-Man and nominates his personal Marvel masterpieces, Marvel.com,On line
Collins. Sean T,2009, Strange Tales Spotlight. Junko Mizuno; Japan's edgy art sensation brings her trademark cute'n'creepy style to Spider-Man and Mary Jane, Marvel.com,On line
Collins. Sean T,2009, Strange Tales Spotlight. Molly Crabapple Q&A; The burlesque queen and comics illustrator takes She-Hulk back in time and reveals her red-hot Gambit fantasies, Marvel.com,On line
Collins. Sean T,2009, Strange Tales Spotlight. John Leavitt; The mastermind behind a burlesque empire joins forces with artist Molly Crabapple for a whole new spin on She-Hulk, Marvel.com,On line
Brevoort. Tom,2009, Marvel Hotline. Brevoort on Spider-Woman; Executive Editor Tom Brevoort gets us inside the next great phase in Marvel storytelling! [motion comics], Marvel.com,On line
Collins. Sean T,2009, Strange Tales Spotlight. Michael Kupperman; The man Conan O'Brien called ''one of the best comedy brains on the planet'' takes on Namor. the Avengers and more, Marvel.com,On line
Marvel.com,2008, The Stand. Captain Trips Comic Book Trailer, Marvel.com,On line
Collins. Sean T,2009, Strange Tale-Tellers. Paul Pope Q&A; Marvel goes to the dogs as the alternative-comics icon throws a bone to Lockjaw and the Inhumans in Strange Tales, Marvel.com,On line
Collins. Sean T,2009, Strange Tales Spotlight. Nick Bertozzi; The creator of The Salon reveals the hidden links between M, Marvel.com,On line
Collins. Sean T,2009, Strange Tales Spotlight. Dash Shaw; The prolific indie wunderkind talks Doctor Strange. explains his love of sci-fi and reveals that Ghost Rider scared him, Marvel.com,On line
Collins. Sean T,2009, Strange Tales Spotlight. Johnny Ryan; The bad boy of humor comics entertains his inner child with Marvel heroes' most humiliating moments, Marvel.com,On line
Kleid. Neil,2008, Dark Reign-Makers. Jeff Parker; The mastermind of Agents Of Atlas talks about the role his eclectic team plays in a Marvel Universe run by Norman Osborn, Marvel.com,On line
Breevort. Tom,2007, My So-Called Career In Comics pt, Marvel.com,On line
Parker. Jeff,2009, Marvel Hotline. Agents Of Atlas #1, Marvel.com,On line
Drumm. Eric,2008, Tuesday Q&A. Brian Michael Bendis; The Ultimate Spider-Man writer talks about Spidey's new Amazing Friends and lays the Osborns to rest once and for all, Marvel.com,On line
Morse. Ben,2009, Reborn Revealed; Writer Ed Brubaker. artist Bryan Hitch and editor Tom Brevoort discuss the secrets behind the return of Steve Rogers [Captain America], Marvel.com,On line
Marvel.com,2008, The Stand. Mike Perkins Q&A, Marvel.com,On line
Marvel.com,2009, Stephen King's The Stand. Captain Trips HC Pr, Marvel.com,On line
Phegley. Kiel,2009, EXCLUSIVE. Diggle on Daredevil; Newly-Marvel exclusive and upcoming DAREDEVIL writer Andy Diggle speaks for the first time publicly about his plans, Marvel.com,On line
Mendez. Alexa,2007, The Weekly Watcher. November 2. 2007 [Marvel PR news - Iron Man video game. X-Men. Messiah CompleX. Spider-Man 3], Marvel.com,On line
Quesada. Joe,2007, Stephen King One On One With Joe Quesada Clip, Marvel.com,On line
Marvel.com,2008, Dark Tower. Treachery Midnight Launch Event [Stephen King. Peter David], Marvel.com,On line
Marvel.com,2008, The Stand. Captain Trips Midnight Launch Event, Marvel.com,On line
Mendez. Alexa,2008, Marvel Hotline. The Stand. Captain Trips #1, Marvel.com,On line
Unknown,1970, [Charlie Brown movie review], Marvelmania,Newspaper / Magazine
Unknown,1970, [Comics club news. quizzes. news], Marvelmania,Newspaper / Magazine
Unknown,1970, [Mike Royer profile], Marvelmania,Newspaper / Magazine
Unknown,1970, [Reviews of Marvel comics], Marvelmania,Newspaper / Magazine
Unknown,1970, [Roy Thomas on Conan], Marvelmania,Newspaper / Magazine
Unknown,1970, [Tony Isabella; The Avengers], Marvelmania,Newspaper / Magazine
Ditko. Steve,1970, [Back cover; unused Amazing Fantasy #15 cover], Marvelmania,Newspaper / Magazine
Smith. Barry,1970, [cover; Conan #1 uninked pencils], Marvelmania,Newspaper / Magazine
Unknown,1970, [Comics club news; quizzes. news], Marvelmania,Newspaper / Magazine
Unknown,1970, [Roy Thomas on Conan], Marvelmania,Newspaper / Magazine
Unknown,1970, [Spider-Man strip; Stan Lee; John Romita], Marvelmania,Newspaper / Magazine
Adkins. Dan,1970, [Starhawk cover], Marvelmania,Newspaper / Magazine
Steranko. Jim,1970, [Back cover], Marvelmania,Newspaper / Magazine
Unknown,1970, [Captain America movie serial], Marvelmania,Newspaper / Magazine
Unknown,1970, [Comics Code], Marvelmania,Newspaper / Magazine
Unknown,1970, [Harlan Ellison and Joe Sinnott], Marvelmania,Newspaper / Magazine
Unknown,1970, [Harlan Ellison and the Hulk], Marvelmania,Newspaper / Magazine
Unknown,1970, [Joe Sinnott interview], Marvelmania,Newspaper / Magazine
Unknown,1970, [Odin], Marvelmania,Newspaper / Magazine
Unknown,1970, [Roy Thomas on Conan], Marvelmania,Newspaper / Magazine
Unknown,1970, [Spider-man strip; Stan Lee; John Romita], Marvelmania,Newspaper / Magazine
Unknown,1970, [Tony Isabella and The Avengers], Marvelmania,Newspaper / Magazine
Colan. Gene,1970, [Cover; Submariner], Marvelmania,Newspaper / Magazine
Unknown,1970, [Alan Hanley; Crackerjack Crew], Marvelmania,Newspaper / Magazine
Unknown,1970, [Alan Hanley; James Shull], Marvelmania,Newspaper / Magazine
Unknown,1970, [Beneath the Planet of the Apes review], Marvelmania,Newspaper / Magazine
Unknown,1970, [Comics reviews; letters; news], Marvelmania,Newspaper / Magazine
Unknown,1970, [Marie Severin; Forbushman; Not Brand Echh], Marvelmania,Newspaper / Magazine
Unknown,1970, [Odin], Marvelmania,Newspaper / Magazine
Unknown,1970, [Science fiction in comics], Marvelmania,Newspaper / Magazine
Unknown,1970, [Spider-Man and spiders], Marvelmania,Newspaper / Magazine
Kirby. Jack,1970, [Spider-Man; cover], Marvelmania,Newspaper / Magazine
Royer. Mike,1970, [back cover; Silver Surfer], Marvelmania,Newspaper / Magazine
Unknown,1970, [Behind the scenes at Marvelmania], Marvelmania,Newspaper / Magazine
Unknown,1970, [Campus comics club], Marvelmania,Newspaper / Magazine
Unknown,1970, [Don Newton as Captain America], Marvelmania,Newspaper / Magazine
Unknown,1970, [Flash Gordon serials], Marvelmania,Newspaper / Magazine
Unknown,1970, [Science fiction], Marvelmania,Newspaper / Magazine
Unknown,1970, [Stan Lee], Marvelmania,Newspaper / Magazine
Unknown,1970, [Thomas' and Adkins' Starhawk], Marvelmania,Newspaper / Magazine
Adams. Neal,1970, [cover], Marvelmania,Newspaper / Magazine
Fisher. Ron,1970, [back cover; Captain America and the Destroyer], Marvelmania,Newspaper / Magazine
Severin. Marie,1970, [Christmas drawing], Marvelmania,Newspaper / Magazine
Smith. Barry,1970, [Medusa drawing], Marvelmania,Newspaper / Magazine
Black. John,2004, Tambor goes under the sea [Spongebob Squarepants], Maryland / Northern Virginia Journal (November 18). 2,
Rosenberg. Scott,2004, The Tao of 'Sleeper' [Ed Brubaker], Maryland / Northern Virginia Journal (November 3). 20,
Dennison. Thomas,2002, Cartoon uses race. crime against Townsend, Maryland Gazette Newspapers (October 24),
Black. John,2004, Hanks. Movie is about belief [Polar Express], Maryland Journal,Newspaper / Magazine
Fuller. Scott,2004, The Real World. Toon Town? [Drawn Together animation reality show], Maryland Journal,Newspaper / Magazine
Morrow. Terry / Scripps Howard,2004, Banding together Marvel's best-known characters, Maryland Journal,Newspaper / Magazine
Morrow. Terry / Scripps Howard,2004, Hal Jordan rejoins the Corps [Green Lantern], Maryland Journal,Newspaper / Magazine
Rosenberg. Scott,2004, In the year 2000 AD. DC Comics brings Judge Dredd to America, Maryland Journal,Newspaper / Magazine
Rosenberg. Scott,2004, The identity behind the 'Crisis'. Brad Meltzer's a pro at keeping secrets, Maryland Journal,Newspaper / Magazine
Rosenberg. Scott,2004, The Mod squad. A day in the life of a would-be gangster [The Originals by Dave Gibbons], Maryland Journal,Newspaper / Magazine
Rosenberg. Scott,2004, This week's comic book releases, Maryland Journal,Newspaper / Magazine
Rosenberg. Scott,2004, This week's comic book releases, Maryland Journal,Newspaper / Magazine
Rosenberg. Scott,2004, This week's comic releases, Maryland Journal,Newspaper / Magazine
Smith. Andrew A,2004, New Superman movie faces dramatic booby-traps, Maryland Journal,Newspaper / Magazine
Truitt. Brian and Scott Rosenberg,2004, Murder most foul. Predicting the culprit in 'Identity Crisis', Maryland Journal,Newspaper / Magazine
Truitt. Brian,2004, An 'Astonishing' year. DC's 'Y. The Last Man' the best comic book series of 2004, Maryland Journal,Newspaper / Magazine
Truitt. Brian,2004, This week's comic book releases, Maryland Journal,Newspaper / Magazine
Truitt. Brian,2004, This week's comic releases, Maryland Journal,Newspaper / Magazine
Truitt. Brian,2004, Why ask 'Y?' From 'The Last man' on earth to superhero mayors. comic writer Vaughan handles them all, Maryland Journal,Newspaper / Magazine
Clack. Cary,2005, SpongeBobgate. Stop fretting over a cartoon [homosexuality and censorship], Maryland Journal,Newspaper / Magazine
Rosenberg. Scott,2005, Beyond capes and powers. Graphic novels without superheroes, Maryland Journal,Newspaper / Magazine
